,Tanggal Transaksi,Nama Barang,Satuan,Qty
0,2024-07-07,BESEK,KODI,0.0
395,2024-07-07,DAIRY CROWN SKM 500 GR,PCS,0.0
7663,2024-07-07,NESTO PAPER BOWL 500 ML,PACK,3.0
7584,2024-07-07,NESTO PAPER BOWL 360 ML,PACK,0.0
7505,2024-07-07,MIKA SEKAT T18 ORIPACK,PACK,2.0
7426,2024-07-07,MIKA CHIFON BULAT T-18 ORIPACK,PACK,0.0
7347,2024-07-07,MIKA BROWNIES M TECHNO - PET,PACK,0.0
7268,2024-07-07,MIKA BROWNIES L TECHNO - PET,PACK,3.0
7189,2024-07-07,MIKA BOLU TX - 18 TECHNO,PACK,10.0
7110,2024-07-07,MIKA BOLU TX - 16 TECHNO,PACK,0.0
7031,2024-07-07,MIKA 7XC TECHNO,PACK,28.0
474,2024-07-07,DELMONTE TOMATO STANDING POUCH 1 KG,PACK,0.0
6952,2024-07-07,MIKA 5B ORIPACK,PACK,0.0
6873,2024-07-07,MIKA 4B ORIPACK,PACK,3.0
7742,2024-07-07,NESTO PAPER BOWL 650 ML,PACK,33.0
6794,2024-07-07,MIKA 3C ORIPACK,PACK,1.0
6636,2024-07-07,MAMAYO ORIGINAL - 1 KG,PACK,5.0
6557,2024-07-07,LV FACIAL REFILL,PACK,0.0
6478,2024-07-07,LUNCHBOX OKEY M,PCS,70.0
6399,2024-07-07,LUNCHBOX OKEY L,PCS,15.0
6320,2024-07-07,LID TUTUP 650/800 ML,DUS,1.6500000000000001
553,2024-07-07,DM R 300 ML,PACK,1.0
6162,2024-07-07,KRAFTBOX OLIN LEAF 12 X 12,PACK,0.0
11297,2024-07-07,TUTUP CEMBUNG ULIR,PACK,0.0
6083,2024-07-07,KRAFTBOX DELIMA 18 X 18,PACK,1.0
6004,2024-07-07,KRAFTBOX DELIMA 11 X 15,PACK,7.0
5925,2024-07-07,KRAFT UFE LM 12 X 12,PACK,0.0
5846,2024-07-07,KOTAK PUTIH POLOS 18 X 18 - OLIN,PACK,0.0
5767,2024-07-07,KOTAK LM HIJAU 15 X 15,PCS,125.0
6715,2024-07-07,MANGKOK 05 - ORIPACK,PACK,2.0
5688,2024-07-07,KOTAK LM HIJAU 12 X 12,PACK,7.02
7821,2024-07-07,NESTO PAPER BOWL 650 ML - KRAFT,PACK,0.0
7979,2024-07-07,NESTO PAPER BOWL 800 ML - KRAFT,PACK,0.0
9954,2024-07-07,SEDOTAN POP ICE,PACK,6.0
9875,2024-07-07,SEDOTAN BENGKOK - ALPOKAT,PACK,1.4
