Grup,No,Nama Barang,Total Pendapatan
Grup A,1,KOTAK GS POLOS 12 X 12,26449508.0
,2,FOAM KCS 2,22554811.0
,3,GELAS SLIM 'TEN-TEN' 18 OZ,20105000.0
,4,MAMAYO ORIGINAL - 1 KG,19890000.0
,5,NESTO PAPER BOWL 650 ML,18529000.0
,6,DM SQ 3000 ML,18378500.0
,7,PE 55 - 12 X 25,17672000.0
,8,LID TUTUP 650/800 ML,16716500.0
,9,CREAMER NDC DONGXIAO,16626000.0
,10,GELAS TECHNO 14 OZ,15614500.0
,11,KRAFTBOX DELIMA 18 X 18,15091505.0
,12,KRAFTBOX DELIMA 11 X 15,14942500.0
,13,HD ASOY 1 CUP - KHARISMA,14836500.0
,14,KRAFTBOX OLIN LEAF 12 X 12,14776500.0
,15,GELAS TECHNO 16 OZ,14689500.0
,16,KERTAS LEGENDA PINK,14285000.0
,17,HD DAYANA ORANGE 15,13066000.0
,18,HD LOS BENING 24 - 9 ONS,12807000.0
,19,MIKA BOLU TX - 18 TECHNO,12492000.0
,20,PE 5PE5 - 12 X 25,12408000.0
,21,PE 55 - 15 X 30,12017000.0
,22,HD SAMPAH FAMILY 60 X 100,11980500.0
,23,KERTAS CAP GAJAH UNGU,11887500.0
,24,PE 5PE5 - 15 X 30,11543000.0
,25,KERTAS PADANG,11384000.0
,26,HD DAYANA ORANGE 24,11379000.0
,27,BOTOL ALMOND 250ML,11182150.0
,28,KOTAK PUTIH POLOS 18 X 18 - OLIN,10969500.0
,29,HD LOS BENING 15 - 9 ONS,10404000.0
,30,MIKA BROWNIES L TECHNO - PET,10218500.0
,31,KOTAK GS POLOS 18 X 18,10201000.0
,32,EURO GOURMET EXTRA PEDAS 1 KG,9655000.0
,33,GELAS BSM 14 OZ - OVAL,9520500.0
,34,MIKA CHIFON BULAT T-18 ORIPACK,9513000.0
,35,SEDOTAN STERIL LANCIP ISI 250 PCS,9505500.0
,36,FOAM KCS 3,9224583.0
,37,GELAS SLIM 'TEN-TEN' 22 OZ,9195000.0
